WATERBODY_ID,VERSION,DATE_RETRIEVED,UP_STREAM,DOWN_STREAM,IMMEDIATE_UP_STREAM,IMMEDIATE_DOWN_STREAM,CATCHMENT_LENGTH,WATERBODY_NAME,WB_TYPE_NAME,Easting,Northing,NGR,BB_MAX_X,BB_MAX_Y,BB_MIN_X,BB_MIN_Y,HMD_NAME
GB103025072520,2,13/09/2013,,"GB103025072391, GB103025072430, GB103025072595, GB103025072596, GB650301500003, GB510302509900",,GB103025072430,,Carrs from Source to Skerne,River,431285,530627,NZ3128530627,433000,532141,430381,529999,Heavily Modified
GB103025072530,2,13/09/2013,,"GB103025072190, GB103025072511, GB103025072512, GB103025076080, GB103025072595, GB650301500003, GB510302509900",,GB103025076080,,Trout Beck from Source to River Tees,River,373895,532366,NY7389532366,376075,533756,371900,531335,Not Designated A/HMWB
GB103025072540,3,13/09/2013,GB103025072460,"GB650301500003, GB510302509900",GB103025072460,GB510302509900,,North Burn from Source to Claxton Beck,River,443140,531527,NZ4314031527,448274,533723,440048,526066,Not Designated A/HMWB
GB103025072550,2,13/09/2013,,"GB650301500003, GB510302509900",,GB510302509900,,Lustrum Beck Catchment (trib of Tees),River,441840,517577,NZ4184017577,447500,521247,434965,513777,Heavily Modified
GB103025076010,2,13/09/2013,"GB103025072360, GB103025072280, GB103025072410, GB103025072420","GB650301500003, GB510302509900","GB103025072360, GB103025072420",GB510302509900,,Billingham Beck from Brierley Beck to Tees Es,River,443911,523414,NZ4391123414,445501,524326,441375,521642,Heavily Modified
GB103025076030,2,13/09/2013,,"GB650301500003, GB510302509900",,GB510302509900,,Greatham Beck Catchment (trib of Tidal Tees),River,447348,529923,NZ4734829923,449602,533448,445069,526238,Not Designated A/HMWB
GB103025076050,2,13/09/2013,,"GB103025072190, GB103025072511, GB103025072512, GB103025076080, GB103025072595, GB650301500003, GB510302509900",,GB103025076080,,Tees from Source to Trout Beck,River,373007,534717,NY7300734717,376084,534774,370009,533755,Not Designated A/HMWB
GB103025076070,3,13/09/2013,,"GB103025072391, GB103025072430, GB103025072595, GB103025072596, GB650301500003, GB510302509900",,GB103025072430,,Skerne from Source to Carrs,River,438874,531772,NZ3887431772,440923,534892,432999,529999,Not Designated A/HMWB
GB103025076080,2,13/09/2013,"GB103025072530, GB103025076050","GB103025072190, GB103025072511, GB103025072512, GB103025072595, GB650301500003, GB510302509900","GB103025072530, GB103025076050",GB103025072511,,Tees from Trout Beck to Maize Beck,River,378815,531121,NY7881531121,381517,533904,376074,528411,Heavily Modified
GB104026066510,2,13/09/2013,,"GB640402492000, GB640402491000, GB530402609201",,GB530402609201,,Ottringham Drain from Ottringham Grange to Humber,River,525476,421194,TA2547621194,526834,423941,523605,418891,Artificial
GB104026066530,2,13/09/2013,,"GB640402492000, GB640402491000, GB530402609201",,GB530402609201,,Fosse drain / Skeffling Drain,River,537843,419217,TA3784319217,538029,420890,536950,418150,Artificial
GB104026066570,2,13/09/2013,,"GB640402492000, GB640402491000, GB530402609201",,GB530402609201,,Winestead Drain from Source to Humber,River,528665,422558,TA2866522558,533990,427690,528394,417995,Artificial
GB104026066670,2,13/09/2013,,"GB104026066660, GB640402492000, GB640402491000, GB530402609201, GB530402609202",,GB104026066660,,Mill Beck 3 (N Cave to High Humsley Area),River,491748,432964,SE9174832964,493691,433407,489829,432445,Not Designated A/HMWB
GB104026066680,2,13/09/2013,,"GB104026066660, GB640402492000, GB640402491000, GB530402609201, GB530402609202",,GB104026066660,,Mill Beck 4 (N and S Newbald Area),River,489932,435295,SE8993235295,491915,437150,489566,432794,Not Designated A/HMWB
GB104026066690,2,13/08/2013,GB104026066720,"GB70410031, GB640402492000, GB640402491000, GB530402609201, GB530402609202",GB104026066720,GB70410031,,Foulness from Black Beck to Market Weighton Canal,River,481939,438264,SE8193938264,489968,444242,473910,432286,Not Designated A/HMWB
GB104026066720,2,13/09/2013,,"GB70410031, GB104026066690, GB640402492000, GB640402491000, GB530402609201, GB530402609202",,GB104026066690,,Foulness from Source to Black Beck (South),River,483887,442221,SE8388742221,487918,445853,479430,440182,Artificial
GB104026066750,2,13/09/2013,,"GB640402492000, GB640402491000, GB530402609201, GB530402609202",,GB530402609202,,Fleet Drain,River,503444,425935,TA0344425935,504392,430524,501028,425534,Artificial
GB104026066790,2,13/09/2013,,"GB104026066800, GB640402492000, GB640402491000, GB530402609201",,GB104026066800,,Conistone Ganstead Area,River,514533,433666,TA1453333666,515840,434399,513434,433246,Artificial
